"Welcome to Kaigi!","Bem-vindo(a) ao Kaigi!"
"Enter some information below about your meeting group to start using Kaigi","Entre as informações do seu grupo abaixo para começar a usar o Kaigi"
"Name","Nome"
"Description","Descrição"
"Start using!","Começar a usar!"
"This field is required.","Este campo é obrigatório."
"Enter","Entrar"
"An e-mail was sent to the administrator. You need to wait the approval to join the group. If you do not want to participate anymore, click the button below.","Um e-mail foi enviado para o administrador. Você precisa esperar a aprovação para entrar no grupo. Se você não deseja participar do grupo, aperte o botão abaixo."
"Leave the group","Deixar o grupo"
"Dashboard","Painel"
"Our ninja iguanas are trying to set the next meeting's date. Wait a few days.","Nossas iguanas ninjas estão tentando decidir a data da próxima reunião. Aguarde alguns dias."
"Next meeting","Próxima reunião"
"New meeting","Nova reunião"
"Enter the information below to schedule a new meeting","Entre as informações abaixo para agendar uma nova reunião"
"When?","Quando?"
"Schedule","Agendar"
"Ninja iguana","Iguana ninja"
"January","janeiro"
"February","fevereiro"
"March","março"
"April","abril"
"May","maio"
"June","junho"
"July","julho"
"August","agosto"
"September","setembro"
"October","outubro"
"November","novembro"
"December","dezembro"
"%(month_name)s %(day)s, %(year)s at %(time)s","Dia %(day)s de %(month_name)s às %(time)s"
"Previous meetings","Reuniões anteriores"
"1 second ago","1 segundo atrás"
"%(seconds)d seconds ago","%(seconds)d segundos atrás"
"1 minute ago","1 minuto atrás"
"%(minutes)d minutes ago","%(minutes)d minutos atrás"
"1 hour ago","1 hora atrás"
"%(hours)d hours ago","%(hours)d horas atrás"
"yesterday","Ontem"
"yesterday at %(time)s","Ontem às %(time)s"
"Monday","Segunda-feira"
"Tuesday","Terça-feira"
"Wednesday","Quarta-feira"
"Thursday","Quinta-feira"
"Friday","Sexta-feira"
"Saturday","Sábado"
"Sunday","Domingo"
"%(weekday)s at %(time)s","%(weekday)s às %(time)s"
"%(month_name)s %(day)s at %(time)s","Dia %(day)s de %(month_name)s às %(time)s"
"Meeting minute","Ata da reunião"
"Meeting of %(day)s","Reunião do %(day)s"
"No minute for this meeting yet","Sem ata para essa reunião por enquanto"
